run,green,yellow,greenGPC,yellowGPC
0,125,146,57,102
1,62,88,231,251
2,141,184,127,48
3,54,91,31,448
4,7,184,10,123
5,19,24,22,36
6,16,22,21,30
7,30,31,37,23
8,21,25,22,50
9,22,22,26,0
