run,green,yellow,greenGPC,yellowGPC
0,99.79330512986496,144.4541256323733,124.11887170515645,126.78771837580354
1,124.54258344553588,164.56854127071114,138.68679528918054,139.19569322063936
2,140.47437641670808,90.40497424132886,182.0362799590633,92.61702569496062
3,130.3238464417848,130.9010193553715,162.77154358638515,108.10823591365686
4,132.17950995080594,140.33437711898912,138.17936309174297,107.51259152357036
5,133.72307700458938,118.32383085662835,121.28948457011712,131.55392547973526
6,110.7415697461124,124.40643568944427,82.94514325966891,122.8772475407753
7,76.74877323916945,145.60799631057492,102.51109996028498,127.28204967327578
8,102.14133008260836,111.68526305673886,104.83435081068863,123.15610698431762
9,132.8017035356104,129.47353480964577,84.2254939568267,476.6681903298266
