run,green,yellow,greenGPC,yellowGPC
0,0.08014254906907474,0.18856163639790086,0.14168691290648192,0.15006855421921247
1,0.1632025795288169,0.22460987100667615,0.15217196567929434,0.1560319370655182
2,0.14226120623302743,0.13096777677269303,0.16785398681434266,0.10836199438966371
3,0.15745343967360842,0.14609512189994925,0.16228399451732778,0.10341312991722061
4,0.12460795305314078,0.14995789677248675,0.15976839781370192,0.12090668982234798
5,0.13412953280461076,0.13180897874287897,0.11413918519786698,0.14135980859070324
6,0.10571184825982796,0.13475468564449256,0.0906772777841893,0.12587213580263532
7,0.07837225051194964,0.13358406859780797,0.10025574359767586,0.1468087686351093
8,0.12254889506285689,0.11441888237240987,0.12115135546753719,0.12263557275795563
9,0.14116198293013457,0.12894591794398336,0.08718906122324029,0.33806692131495414
