run,green,yellow,greenGPC,yellowGPC
0,1503.477130026764,1863.147690567992,1487.2085875456148,922.4054446477583
1,961.3667293761139,1000.9780453399893,948.7478260102548,1251.3296048672544
2,783.9145961849285,753.9494313717395,1420.9146843534577,796.2280050424323
3,1211.1287920317197,1332.3539479717613,1277.7251299543288,1128.8922899573874
4,1434.7257970691267,1262.8419361429228,1767.2832239372983,1789.5734164147098
5,1405.1620974409261,1393.3567307300486,962.7338485323635,1867.4988641752814
6,1011.5077037140628,947.626672629762,2089.0070067571205,976.2834816319752
7,895.027016572912,1346.4156587734005,1329.1360871978256,1167.564329258946
8,952.4989699526698,832.6451913204113,786.6279730473112,957.6216454870835
9,769.2950055669439,1001.100517106621,769.8366148928355,740.7735938113764
