run,green,yellow,greenGPC,yellowGPC
0,22.504080999999996,22.92552,22.731466,27.859761
1,22.278748,22.869591999999997,22.526809,33.400158
2,22.390397999999998,22.796181,22.933514,31.366873
3,22.546419999999998,22.229325,23.131468999999996,31.617207999999998
4,22.703199999999995,23.21938,22.806651999999996,29.922974
5,22.285563,22.677275,22.164146,22.315862000000003
6,22.542206,23.20233,22.789212,37.398720000000004
7,23.004037,23.720653,22.970687999999996,26.634189
8,22.476536999999997,23.097337,22.633157999999998,39.32530199999999
9,24.070874,23.630543999999993,26.552723999999998,39.260278
