run,green,yellow,greenGPC,yellowGPC
0,6,19,6,135
1,15,17,14,101
2,16,17,34,146
3,17,16,19,183
4,13,19,13,181
5,6,19,6,121
6,14,17,14,191
7,17,15,34,57
8,14,17,24,51
9,15,16,18,49
