run,green,yellow,greenGPC,yellowGPC
0,2.0969309856505527,2.647070352466885,2.100602219052515,5.874454103747284
1,2.112070188106842,0.4458384582438311,2.3279653415764088,1.9479906636328082
2,0.893747356697445,2.8432840624841185,0.9861018305443466,6.46314946548378
3,0.5955062773751069,2.948228458274249,0.6016744149738493,5.717880292820559
4,0.4988468513050932,2.6494405668409677,0.5738004406308398,5.174724124516504
5,1.6192695850337726,1.1581728814718415,6.822680400335785,9.76188252162829
6,23.83138037484554,2.9854466131601947,12.085342343776645,5.661212367640645
7,2.328145353243714,3.5262385624888646,4.025599555246174,2.9836155440614953
8,5.129396411791561,6.727715881285082,3.4176766356917234,4.188348045872442
9,3.9387812472128427,3.3411978037036447,2.355174982301246,5.935175401660784
