run,green,yellow,greenGPC,yellowGPC
0,0.2551371477100264,0.2708414010688581,0.18656761889121684,0.2018657795023838
1,0.22310483923535193,0.2679387211301757,0.26350935464258785,0.16900500000872154
2,0.2202072670801149,0.2277343331241645,0.2046219297808431,0.18821027118848552
3,0.157913031968044,0.25798306338006977,0.20074719737453542,0.23994742292702298
4,0.26516175796231367,0.2590164047455352,0.282251966084883,0.3147266127117503
5,-1.0,1.8307770961145193,-2.0,0.03231783483283637
6,0.2394714522802151,0.25453042931930536,0.19964557071024364,0.19324967552969025
7,0.22732604167260598,0.20559791604703861,0.25332406424143,0.17456032406894378
8,0.2559418474267549,0.20658788394323024,0.2624297935681396,0.16850676687170005
9,0.2058464086858418,0.24391019761217028,0.1813920956155837,0.15892545430208607
