run,green,yellow,greenGPC,yellowGPC
0,3.6981525790580823,3.7963205503869113,3.553720377670894,3.381326411638206
1,3.027224500150896,3.6266477697121475,4.122373275605644,3.1688200959494854
2,2.244552055859076,2.5200728298357307,7.5480750661854525,2.4309611294257807
3,2.1715038455320346,2.8075844349691907,10.836360105877551,2.650192760483128
4,2.9190791780659517,2.7185619409066133,2.6398930919262353,2.7401986220344554
5,4.626944810776895,2.5432381651717404,4.575711187780076,2.2427867815981775
6,3.0470277954432072,2.401597234693217,7.4537311021120125,2.752471374364238
7,2.4101112510654854,2.502112105970693,2.362777621486003,4.930680790539629
8,3.1935772972057075,3.9039257242646794,10.012312435433435,3.741986454491177
9,3.1139151013483586,3.2095268618024098,2.8997097593557295,3.037879368584149
