run,green,yellow,greenGPC,yellowGPC
0,0.32683612858796635,0.5731465981357183,0.44946004038393683,0.29291103477577823
1,0.21385694701641617,0.6071151836355397,0.5011377950435929,0.2513623862841417
2,0.3881188741253667,0.41809150420565766,0.366257819820535,0.2642532216256325
3,0.13111363742903145,0.3786372349007127,0.6843261229145076,0.546829231762236
4,0.47827582826497583,0.3197136300034425,0.8649081432394213,0.2172230276006038
5,0.374737131163468,0.24681888136631905,0.7559834676107439,0.2907829435917277
6,0.538980171832661,0.5789196292367024,0.3742478380985847,0.17699930234390926
7,0.2762802606888602,0.483876713265343,0.19910512158918003,0.29738951367983213
8,0.7905387233294633,0.4861663544500712,0.293307448429751,0.24867049026219698
9,0.8606439379643473,0.314376649203397,0.25935503542989713,0.2291997530349304
