run,green,yellow,greenGPC,yellowGPC
0,1.8314512405897885,3.0243201497587338,2.095350759939464,2.99856422500611
1,2.5570670304268543,3.340493451976839,0.6599992759051999,3.2298150819164317
2,2.5583883628190174,3.084720071497341,1.3211481769955862,3.0255521842669615
3,1.429902542406122,3.225341738224442,0.8181471284805865,3.19252186199216
4,1.9013060597680724,3.001819562258347,0.4590561533008891,3.0125619814919014
5,2.3843364535048854,3.2241392452459157,1.296964474074201,3.2318502202574915
6,2.683745256042627,3.0571560303748004,0.37563994844177073,3.1572737082397087
7,3.1458485782564845,0.3198398323113465,3.191026701354115,0.7682447669736618
8,2.9987795396244232,0.6368886553187088,3.017765167891834,0.240991318404088
9,3.0821069606009255,0.5176256605130384,3.1949197410279067,0.6846594831472094
