run,nedd,lowerRouterStall,fewerSwitch,random,antinedd
0.0,180.238721,250.875048,261.445597,295.097844,338.502191
1.0,126.517987,278.172059,251.430835,319.102601,380.842367
2.0,182.961873,113.746276,274.880671,285.857032,265.75347
3.0,283.799693,301.990686,274.165365,279.50307,373.002064
4.0,244.474631,337.019483,255.873675,303.835765,279.520961
5.0,152.213112,242.915604,291.216807,335.951516,226.239001
6.0,91.182305,176.351671,294.109731,293.803429,255.105362
7.0,219.750591,286.672913,259.499022,-1.0,-1.0
