run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0,34,40,39,101,107,36
1,77,45,47,67,68,39
2,49,54,36,69,140,34
3,86,38,37,71,59,36
4,39,37,38,45,44,38
5,33,38,39,60,52,38
6,36,42,37,55,52,38
7,35,48,49,43,44,36
8,42,45,102,51,55,35
9,49,59,49,48,41,43
10,38,47,38,53,42,40
11,39,63,37,52,57,42
