run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0,53,51,52,57,60,45
1,69,69,46,71,80,50
2,70,63,51,91,69,52
3,47,51,45,112,69,46
4,51,114,87,80,76,55
5,49,63,63,79,63,52
6,46,62,54,78,67,58
7,53,39,86,92,59,61
8,172,85,66,90,113,78
9,50,60,58,147,142,54
