run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,213.07968,263.031616,259.33484799999997,255.06240000000003,230.791616,123.02425600000001
1.0,243.138368,230.321024,147.559424,250.29792,238.70572800000002,125.048256
2.0,263.285568,157.321216,160.415616,229.258112,239.834048,117.488256
3.0,231.58336,161.717184,254.311104,234.954048,282.72576000000004,124.830464
4.0,171.322176,276.544,209.79808,244.01568,282.06976,124.62208000000001
5.0,265.726208,163.99456,224.248192,234.9536,207.03488,118.177408
6.0,246.538048,158.23424,181.822336,-1.0,-1.0,-1.0
