run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,212.3,142.0,174.3,202.4,137.3,163.9
1.0,140.0,140.9,192.70000000000002,135.60000000000002,168.70000000000002,158.8
2.0,154.8,151.0,156.4,129.6,126.49999999999999,151.0
3.0,161.20000000000002,157.5,189.0,134.9,206.4,182.5
4.0,147.4,137.6,173.10000000000002,134.1,116.10000000000001,152.6
5.0,137.79999999999998,152.2,147.70000000000002,207.6,193.6,141.2
6.0,136.1,147.10000000000002,148.6,200.2,258.0,168.9
7.0,159.9,156.7,171.5,145.1,420.2,191.5
