run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,115.75729000000001,86.35741999999999,101.67886,143.99685,109.09611,91.66705999999999
1.0,97.03880000000001,97.42936,95.02009000000001,111.67989,128.2822,95.34937
2.0,108.58026999999998,94.70093,126.06390999999999,115.35811,226.13,93.95433000000001
3.0,102.56925,108.50151,103.34752,96.84536,118.37299,100.20956
4.0,96.38957,114.37571,96.3358,96.2005,99.34710999999999,93.80301
5.0,104.83913000000001,92.31188,101.06434999999999,113.4493,152.19365000000002,97.61407
6.0,90.29405,142.0986,92.42455,97.57154,107.43495999999999,138.76888
7.0,93.3312,86.27762,104.00162,101.91091,121.08941,95.95133999999999
8.0,106.60816,92.07206,98.77687,104.2122,209.75628999999998,90.87215
9.0,93.53452,89.07972000000001,94.25471999999999,99.06130999999999,110.88168,92.92483999999999
