run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,41.70407899999999,41.143815,41.492292,42.587748,42.579539999999994,41.603015000000006
1.0,41.711321,41.237649,41.617236,41.444660999999996,42.174687999999996,41.546699
2.0,41.208471,41.717884999999995,41.235779,40.984218,41.604890000000005,41.099048999999994
3.0,41.352083,41.638035,42.019502,45.252339,44.275508,41.321131
4.0,41.350076,41.479866,41.236954999999995,41.82177399999999,42.22266499999999,41.108391
5.0,40.866637000000004,41.577752999999994,41.070133999999996,44.010951,44.294709,40.859812000000005
6.0,41.235226000000004,60.52744,41.633299,42.224513,42.03249399999999,41.1754
7.0,41.053785999999995,41.304263,41.092475,41.208093999999996,49.558738,41.006823000000004
8.0,41.807683,41.001999999999995,41.563855,41.944091,41.07755199999999,41.610586
9.0,41.30988,41.271225,41.558416,41.753051,41.328782000000004,41.189895
