run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,45.714569,41.52605799999999,42.114365,42.5655,41.459821999999996,41.571385
1.0,42.058247,41.384786999999996,41.37779299999999,53.559091,45.180744,42.06446699999999
2.0,41.882655,41.560939,41.819244,42.68481799999999,45.872074999999995,42.165565
3.0,43.165378999999994,40.970407,41.276737,44.287392999999994,43.578647000000004,41.093936
4.0,43.023566,41.224880999999996,45.818162,43.498607,43.781784,41.392641999999995
5.0,53.696600999999994,41.566056999999994,55.878395999999995,49.518114,75.34809899999999,41.846607
6.0,42.344891,42.663436999999995,41.709920999999994,42.758891,42.42554499999999,41.361529000000004
7.0,41.66777799999999,42.981099,44.352700999999996,47.183877,49.592551,41.275881
8.0,41.500702,46.139652999999996,41.782891,41.235817000000004,44.292274,42.092538999999995
9.0,41.371655,47.60722,41.180932999999996,41.942679,41.74310499999999,41.368581999999996
