run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,232.037204,213.010057,230.345117,306.395706,300.472616,78.290376
1.0,167.191203,396.013916,142.439458,330.910075,388.144538,71.924728
2.0,213.520633,305.675131,121.830282,283.468553,291.301962,77.51199
3.0,277.609581,266.973943,263.528473,314.810945,254.856719,76.847199
4.0,117.25084,299.673423,271.853374,292.162579,-1.0,-1.0
