run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,neddNoCong,fewerNoCong
0,55,43,46,40,59,46,45
1,41,42,38,69,43,50,38
2,51,44,40,47,284,67,67
3,45,37,40,57,43,44,44
4,36,49,61,104,49,47,39
5,48,59,43,62,55,45,38
6,41,42,51,65,46,45,42
7,33,46,36,57,56,36,36
8,36,46,37,47,54,39,43
9,42,49,43,59,53,48,40
10,40,36,34,63,72,43,41
11,34,-1,-1,-1,-1,-1,-1
