run,nedd,lowerRouterStall,fewerSwitch,random,antinedd
0.0,80.83528999999999,150.61729,162.89297,207.01174000000003,255.71934000000002
1.0,138.21105,144.8805,86.02141,155.60856,261.42387
2.0,85.08166,81.31775999999999,187.35966000000002,234.41826,122.95193
3.0,119.40549,140.06967,147.41018,122.26571,175.07288
4.0,82.53309,312.049,80.93746,90.17602,115.97261
5.0,104.19864000000001,87.5603,80.89385,202.03351,83.4263
6.0,89.69528,111.63265999999999,114.03035,131.22222,82.15416
7.0,176.57850000000002,173.28409,82.97295,162.05543,-1.0
