Starting..
====================
iteration 0
Starting job in nedd policy..
startTime:Sat Jan 23 15:09:30 PST 2021

# Create System:
# Done .... 
# miniMD-Reference 2.0 (MPI+OpenMP) output ...
# Run Settings: 
	# MPI processes: 2176
	# OpenMP threads: 1
	# Inputfile: in.lj.miniMD
	# Datafile: None
# Physics Settings: 
	# ForceStyle: LJ
	# Force Parameters: 1.00 1.00
	# Units: LJ
	# Atoms: 131072
	# Atom types: 4
	# System size: 53.75 53.75 53.75 (unit cells: 32 32 32)
	# Density: 0.844200
	# Force cutoff: 2.500000
	# Timestep size: 0.005000
# Technical Settings: 
	# Neigh cutoff: 2.800000
	# Half neighborlists: 1
13600 6.965766e-01 -5.666716e+00 7.462767e-01 23.848
13700 6.967062e-01 -5.666957e+00 7.466101e-01 24.070
13800 6.973997e-01 -5.668030e+00 7.426222e-01 24.289
13900 6.965937e-01 -5.666776e+00 7.438164e-01 24.532
14000 6.958413e-01 -5.665590e+00 7.484700e-01 24.748
14100 6.990862e-01 -5.670421e+00 7.314864e-01 24.940
14200 6.970080e-01 -5.667364e+00 7.415778e-01 25.116
14300 6.955140e-01 -5.665288e+00 7.538951e-01 25.298
14400 6.954327e-01 -5.665119e+00 7.568430e-01 25.497
14500 6.987334e-01 -5.670014e+00 7.344838e-01 25.706
14600 6.966705e-01 -5.666938e+00 7.475065e-01 25.895
14700 6.966478e-01 -5.666798e+00 7.501777e-01 26.092
14800 6.966909e-01 -5.667010e+00 7.450276e-01 26.295
14900 6.970075e-01 -5.667503e+00 7.448752e-01 26.487
15000 6.987247e-01 -5.670115e+00 7.310007e-01 26.711
15100 6.958593e-01 -5.665775e+00 7.518864e-01 26.908
15200 6.976969e-01 -5.668486e+00 7.425826e-01 27.106
15300 6.962276e-01 -5.666302e+00 7.517219e-01 27.309
15400 6.972470e-01 -5.667932e+00 7.425864e-01 27.465
15500 6.962807e-01 -5.666514e+00 7.509080e-01 27.616
15600 6.993164e-01 -5.671024e+00 7.320803e-01 27.763
15700 6.973412e-01 -5.668005e+00 7.428663e-01 27.906
15800 6.989650e-01 -5.670563e+00 7.368155e-01 28.034
15900 6.961803e-01 -5.666271e+00 7.516679e-01 28.166
16000 6.955109e-01 -5.665426e+00 7.537399e-01 28.283
16100 6.975351e-01 -5.668430e+00 7.384339e-01 28.375
16200 6.957226e-01 -5.665742e+00 7.523790e-01 28.472
16300 6.952602e-01 -5.664978e+00 7.572564e-01 28.551
16400 6.961989e-01 -5.666499e+00 7.499160e-01 28.633
16500 6.971289e-01 -5.667748e+00 7.439381e-01 28.718
16600 6.980019e-01 -5.669186e+00 7.371481e-01 28.796
16700 6.966367e-01 -5.667168e+00 7.452966e-01 28.916
16800 6.963209e-01 -5.666718e+00 7.485584e-01 29.100
16900 6.962447e-01 -5.666555e+00 7.469720e-01 29.279
17000 6.965403e-01 -5.666960e+00 7.536694e-01 29.464
17100 6.961452e-01 -5.666506e+00 7.482542e-01 29.651
17200 6.954574e-01 -5.665472e+00 7.553164e-01 29.837
17300 6.970419e-01 -5.667930e+00 7.405798e-01 30.037
17400 6.961686e-01 -5.666577e+00 7.467897e-01 30.241
17500 6.968764e-01 -5.667629e+00 7.433406e-01 30.414
17600 6.989925e-01 -5.670707e+00 7.283823e-01 30.610
17700 6.954099e-01 -5.665401e+00 7.509204e-01 30.790
17800 6.982257e-01 -5.669723e+00 7.361462e-01 30.994
